in-degree,out-degree
0,5
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
0,1
0,2
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,3
1,0
1,0
1,0
1,0
1,0
0,12
1,0
1,0
1,0
1,0
1,2
1,0
1,0
2,4
1,0
1,0
0,1
1,0
1,0
1,0
0,3
1,0
1,0
1,0
1,0
1,0
1,1
1,1
0,1
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
0,1
1,0
1,1
1,0
1,0
1,0
0,1
0,2
1,0
0,1
1,0
0,1
1,0
1,0
0,1
1,0
0,1
1,2
1,0
2,13
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
0,1
0,1
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
0,4
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
0,1
1,0
1,0
2,5
0,3
0,2
1,0
1,0
1,0
2,0
1,0
0,1
1,0
1,0
1,0
1,0
0,2
1,0
4,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
0,1
0,1
1,0
1,0
1,0
1,1
1,0
1,0
0,1
1,0
1,0
1,0
1,1
1,0
0,9
1,0
0,1
2,0
0,1
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
0,1
2,0
0,1
1,0
1,0
1,0
1,0
1,0
3,1
1,0
0,11
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
0,1
1,0
1,0
3,63
1,0
1,0
1,0
0,1
1,0
1,0
0,1
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
0,1
1,0
1,0
1,1
1,0
1,0
0,1
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
3,0
1,0
1,0
1,0
1,0
0,1
2,2
1,0
1,0
1,0
1,0
0,1
0,21
0,1
1,1
1,0
1,0
1,0
1,0
1,0
0,2
1,0
1,0
0,2
1,0
0,2
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
2,2
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,2
1,0
0,1
1,0
0,7
1,0
1,0
1,0
1,1
2,1
1,0
1,0
0,1
0,1
1,0
1,0
1,0
1,0
1,0
0,1
1,0
0,1
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
0,2
1,0
0,1
1,0
1,0
1,0
0,1
1,0
0,1
1,0
1,0
5,0
1,0
1,0
0,1
0,1
3,2
1,0
1,0
1,0
2,1
0,4
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
2,0
1,0
0,1
2,0
1,1
1,0
0,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,3
1,0
0,1
1,0
2,1
1,0
1,0
0,1
2,0
0,1
1,0
1,0
1,0
0,1
0,1
1,0
0,1
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
0,1
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,2
0,1
1,0
1,0
1,0
16,0
1,0
1,0
1,0
1,0
