in-degree,out-degree
0,1
1,0
1,0
0,10
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,3
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
0,1
1,0
2,1
1,0
1,0
0,2
0,1
1,0
1,0
1,0
1,0
1,0
4,0
1,0
0,1
1,0
4,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,2
0,1
1,0
1,0
1,0
1,0
1,0
3,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
0,1
1,0
1,0
1,0
1,0
1,0
1,1
0,2
1,0
2,1
1,0
1,1
1,0
1,0
0,1
0,3
1,0
1,0
2,0
1,1
1,0
0,26
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
2,0
4,0
1,0
1,0
1,1
1,6
1,0
1,0
1,0
1,0
1,0
5,0
1,0
1,0
1,0
1,0
1,0
2,5
1,0
1,0
1,0
1,0
1,0
0,1
0,1
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
0,5
1,0
1,0
1,0
1,0
1,0
1,0
0,3
1,0
1,0
1,0
0,1
0,1
1,0
1,0
1,0
1,0
0,6
1,0
1,0
1,0
0,1
1,1
1,1
1,0
0,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
0,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
0,1
0,2
0,2
1,0
3,0
1,0
1,0
0,2
4,0
1,0
1,0
1,0
0,1
1,0
1,1
0,1
1,0
1,0
0,2
1,0
2,0
1,0
0,1
1,0
1,0
1,0
0,1
1,0
1,0
1,0
2,0
1,0
0,1
0,1
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
0,1
2,1
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
0,1
0,15
1,3
1,0
0,2
0,2
0,1
0,1
0,1
1,0
1,0
1,0
2,0
0,1
0,1
0,2
1,0
1,0
1,0
1,0
1,0
1,0
0,2
0,1
1,0
0,4
1,0
1,0
1,0
0,1
1,0
1,0
0,3
4,3
1,0
1,0
1,0
1,0
0,1
5,22
1,0
1,0
0,1
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
0,19
1,0
0,1
1,0
1,0
0,1
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
8,0
0,1
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
0,1
1,0
0,1
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
0,1
1,0
1,0
1,0
1,0
2,1
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
2,0
0,1
1,0
0,1
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
0,1
0,1
1,0
2,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,5
1,0
1,0
1,0
1,0
0,1
1,0
2,0
0,1
1,0
0,1
1,0
1,0
3,0
1,0
1,0
0,1
1,0
1,0
1,0
3,1
1,0
1,0
1,0
1,0
2,0
0,1
1,0
1,0
1,1
1,0
0,1
1,0
1,0
1,0
1,0
0,1
1,0
1,0
0,1
0,1
1,1
1,0
1,0
1,0
0,3
1,0
1,0
0,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
0,1
2,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
0,1
1,0
0,1
1,0
1,0
0,1
2,1
1,0
1,0
1,0
2,0
1,0
1,0
1,0
0,1
0,1
1,0
2,0
1,0
1,0
2,7
0,3
0,4
0,1
1,0
1,0
1,0
1,0
1,0
0,1
1,0
2,0
1,0
1,0
1,0
0,1
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
0,2
1,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
4,0
1,0
1,0
1,0
1,0
1,0
7,9
1,0
1,0
1,0
0,1
1,0
2,0
0,1
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,3
1,0
0,1
1,0
1,0
0,1
1,0
2,1
0,1
1,0
1,0
1,0
0,1
1,0
0,1
1,0
1,0
1,0
1,2
1,0
1,0
1,0
1,0
1,0
0,25
1,0
1,0
0,1
1,0
0,1
1,0
1,0
1,0
3,0
0,2
1,0
1,0
0,1
0,1
0,2
0,1
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
2,2
0,1
1,0
0,1
1,0
2,0
1,0
0,1
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
2,0
0,1
1,0
1,0
1,0
0,1
1,0
1,0
0,1
1,0
0,1
1,0
1,0
1,0
1,0
1,0
0,1
2,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
2,0
0,1
1,0
1,0
0,2
0,1
1,0
1,0
1,0
0,1
3,0
1,0
0,1
0,1
1,0
1,0
0,1
1,0
0,1
1,0
4,0
1,0
1,0
1,0
1,0
1,0
1,0
19,20
1,0
1,0
1,0
1,0
1,0
1,0
3,1
0,1
1,0
0,49
1,1
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,1
1,0
0,1
0,1
1,0
1,0
0,1
1,1
1,0
1,1
1,0
2,0
1,0
1,0
0,1
1,0
1,0
2,1
0,1
1,0
0,1
1,0
1,0
1,0
1,0
0,1
0,1
2,0
0,1
0,1
1,0
1,0
1,0
1,0
1,0
3,103
1,0
1,0
0,1
1,0
1,0
1,0
1,0
0,1
0,1
1,0
1,0
0,1
1,0
0,1
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
0,1
1,0
1,0
0,3
1,0
2,1
0,1
2,0
1,0
1,0
1,0
0,1
0,1
1,0
1,0
1,0
0,1
1,0
1,0
0,1
1,0
0,1
1,0
1,0
0,1
1,0
0,1
0,1
1,0
1,0
1,0
4,0
1,0
5,0
0,1
0,1
2,3
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
0,1
1,0
1,0
1,0
1,0
0,1
1,0
1,0
0,1
1,0
1,0
1,1
1,1
1,0
0,1
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
0,3
1,0
1,0
1,0
1,0
0,1
1,0
4,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,2
1,0
0,1
1,0
0,1
2,4
1,0
3,0
0,1
2,0
0,1
1,0
1,1
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
0,1
1,0
1,0
0,1
1,0
0,57
0,1
1,2
1,0
1,0
1,0
0,1
1,0
1,0
1,0
0,1
1,0
1,0
1,0
0,1
0,1
0,1
1,0
1,0
1,0
1,1
0,4
1,0
1,0
1,1
1,0
1,0
1,0
0,1
0,2
1,0
1,0
1,0
1,0
2,0
1,0
1,1
0,3
1,0
1,0
7,0
1,0
1,0
0,1
0,1
0,1
0,1
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,1
1,0
1,0
1,0
2,0
1,0
1,0
2,2
3,0
1,1
1,0
1,1
0,1
2,5
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
6,1
1,0
1,0
1,0
1,0
2,0
1,0
0,1
0,1
0,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
3,1
0,1
1,0
1,0
1,0
2,0
0,3
1,0
1,0
1,0
1,0
0,2
1,0
0,1
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
0,23
1,0
0,1
1,0
0,1
0,1
1,0
1,0
1,0
1,0
2,2
1,0
1,0
0,1
2,2
2,0
1,0
2,0
0,1
1,0
2,0
2,0
0,1
0,1
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,2
1,0
0,2
1,0
1,0
1,0
0,1
0,1
1,0
1,0
1,0
0,1
2,0
1,0
1,0
1,0
0,1
3,2
1,0
1,0
0,1
1,0
1,1
0,1
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
0,3
5,0
1,0
0,1
0,2
1,1
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,1
1,0
0,1
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,1
1,0
1,0
5,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,1
0,1
0,1
0,4
1,0
1,0
0,1
1,0
1,0
3,3
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
0,1
3,0
0,1
1,0
1,0
1,0
2,1
1,0
0,4
1,0
0,1
1,0
0,1
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
0,1
1,0
1,0
2,0
0,1
0,1
0,1
1,0
1,0
1,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
0,1
0,1
0,1
0,1
1,0
2,0
0,1
8,10
1,0
1,0
1,0
1,0
0,1
0,1
1,0
1,0
0,2
0,1
1,0
4,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
0,4
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
0,1
1,0
1,0
0,1
1,0
1,0
29,22
1,0
0,1
1,0
1,0
0,1
0,1
1,0
1,0
1,0
1,0
1,0
1,0
0,1
3,4
0,1
1,0
0,1
1,0
0,1
1,0
1,0
0,1
1,0
0,1
2,0
1,0
4,0
1,0
4,0
1,0
0,1
1,0
0,1
1,0
1,0
